state,jurisdiction_id,ahj,cell_count,project_families,strict_classifications,source_statuses
AR,us-ar-clarksville,Clarksville,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-conway,Conway,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-farmington,Farmington,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-fayetteville,Fayetteville,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-fort_smith,Fort Smith,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-garfield,Garfield,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-harrison,Harrison,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-highfill,Highfill,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-hope,Hope,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-hot_springs,Hot Springs,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-hot_springs_village,Hot Springs Village,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-huntsville,Huntsville,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-jacksonville,Jacksonville,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-jonesboro,Jonesboro,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-kensett,Kensett,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-little_rock,Little Rock,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-malvern,Malvern,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-marion,Marion,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-maumelle,Maumelle,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-newport,Newport,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-north_little_rock,North Little Rock,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
